epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1278.29,0.51233,0.64855,0.86571,0.98591,1,0.995,0.86988,0.53998,0.62893,0.78325,0.000511769,0.000511769,0.000511769
72,1291.27,0.51451,0.62056,0.86284,0.9888,1,0.995,0.86988,0.51482,0.62538,0.7809,0.000495266,0.000495266,0.000495266
73,1304.18,0.4966,0.62319,0.8514,0.9888,1,0.995,0.86988,0.51482,0.62538,0.7809,0.000478762,0.000478762,0.000478762
74,1317.49,0.52466,0.58983,0.87788,0.99123,1,0.995,0.85124,0.55191,0.63739,0.79067,0.000462259,0.000462259,0.000462259
75,1330.43,0.49456,0.61101,0.85127,0.99044,1,0.995,0.81792,0.61848,0.64905,0.79876,0.000445756,0.000445756,0.000445756
76,1343.44,0.47306,0.60268,0.87037,0.99028,1,0.995,0.83587,0.60334,0.64666,0.79876,0.000429253,0.000429253,0.000429253
77,1356.32,0.48984,0.59968,0.83955,0.99028,1,0.995,0.83587,0.60334,0.64666,0.79876,0.000412749,0.000412749,0.000412749
78,1369.16,0.52367,0.60878,0.86368,0.99099,1,0.995,0.86345,0.55171,0.6372,0.79305,0.000396246,0.000396246,0.000396246
79,1382.09,0.46269,0.57055,0.84318,0.99095,1,0.995,0.8734,0.53223,0.62815,0.78997,0.000379743,0.000379743,0.000379743
80,1395.06,0.44933,0.58575,0.86129,0.99025,1,0.995,0.88882,0.52524,0.63714,0.78836,0.000363239,0.000363239,0.000363239
81,1407.88,0.46352,0.59463,0.85511,0.99025,1,0.995,0.88882,0.52524,0.63714,0.78836,0.000346736,0.000346736,0.000346736
82,1420.85,0.5186,0.59614,0.8736,0.98936,1,0.995,0.87965,0.52558,0.63917,0.78454,0.000330233,0.000330233,0.000330233
83,1434.36,0.4713,0.56592,0.85956,0.98816,1,0.995,0.86748,0.51135,0.63747,0.78242,0.000313729,0.000313729,0.000313729
84,1447.41,0.48024,0.57808,0.85799,0.9885,1,0.995,0.86361,0.50461,0.62483,0.78595,0.000297226,0.000297226,0.000297226
85,1460.46,0.42134,0.55884,0.84934,0.9885,1,0.995,0.86361,0.50461,0.62483,0.78595,0.000280723,0.000280723,0.000280723
86,1473.55,0.47867,0.56856,0.87084,0.98984,1,0.995,0.86009,0.50357,0.60191,0.78521,0.00026422,0.00026422,0.00026422
87,1487.05,0.46328,0.57409,0.84409,0.99115,1,0.995,0.88488,0.48666,0.58721,0.78186,0.000247716,0.000247716,0.000247716
88,1500.48,0.46893,0.54181,0.85066,0.99177,1,0.995,0.88347,0.4764,0.58667,0.77948,0.000231213,0.000231213,0.000231213
89,1513.67,0.49497,0.57332,0.86998,0.99177,1,0.995,0.88347,0.4764,0.58667,0.77948,0.00021471,0.00021471,0.00021471
90,1526.66,0.47404,0.57783,0.84759,0.99003,1,0.995,0.88209,0.47391,0.58823,0.77799,0.000198206,0.000198206,0.000198206
91,1539.47,0.40959,0.82942,0.78959,0.98853,1,0.995,0.8619,0.4734,0.59444,0.78117,0.000181703,0.000181703,0.000181703
92,1552.1,0.41603,0.85868,0.81855,0.9875,1,0.995,0.85993,0.46999,0.60928,0.78205,0.0001652,0.0001652,0.0001652
93,1564.79,0.42091,0.80513,0.76786,0.9875,1,0.995,0.85993,0.46999,0.60928,0.78205,0.000148696,0.000148696,0.000148696
94,1577.63,0.44327,0.76987,0.84696,0.9866,1,0.995,0.85993,0.46437,0.61956,0.78301,0.000132193,0.000132193,0.000132193
95,1590.32,0.42772,0.78359,0.81145,0.98506,1,0.995,0.87452,0.4598,0.62738,0.78464,0.00011569,0.00011569,0.00011569
96,1602.97,0.41331,0.8211,0.84108,0.9844,1,0.995,0.88037,0.46001,0.63931,0.78521,9.91865e-05,9.91865e-05,9.91865e-05
97,1615.91,0.43768,0.81076,0.82785,0.9844,1,0.995,0.88037,0.46001,0.63931,0.78521,8.26832e-05,8.26832e-05,8.26832e-05
98,1629.19,0.3938,0.78754,0.81026,0.98477,1,0.995,0.89637,0.46633,0.64329,0.78287,6.61799e-05,6.61799e-05,6.61799e-05
99,1642.04,0.41597,0.78322,0.81092,0.98541,1,0.995,0.89637,0.46795,0.64275,0.78131,4.96766e-05,4.96766e-05,4.96766e-05
100,1654.76,0.42277,0.80879,0.83074,0.98618,1,0.995,0.89637,0.46751,0.63648,0.78,3.31733e-05,3.31733e-05,3.31733e-05
